date,regime,regime_label,portfolio_USMV_overlay,portfolio_cash_baseline,SPY,USMV,cumret_USMV_overlay_pct,cumret_cash_baseline_pct,cumret_SPY_pct,cumret_USMV_etf_pct,portfolio_USMV_USD,portfolio_cash_USD,cash_USD,positions_value_USD,n_positions
2024-02-15,0,bull,191.7039,191.7039,133.827,113.921,91.7039,91.7039,33.827,13.921,1917.0386,1917.0386,1062.3348,766.2592,12
2024-02-16,0,bull,193.4669,193.4669,133.1605,113.6526,93.4669,93.4669,33.1605,13.6526,1934.6693,1934.6693,952.3886,894.2389,14
2024-02-20,0,bull,189.8911,189.8911,132.4274,113.5961,89.8911,89.8911,32.4274,13.5961,1898.9108,1898.9108,1126.9679,699.7268,13
2024-02-21,0,bull,187.3008,187.3008,132.5474,113.9492,87.3008,87.3008,32.5474,13.9492,1873.0081,1873.0081,1142.8634,667.1286,13
2024-02-22,0,bull,189.8098,189.8098,135.2905,115.1216,89.8098,89.8098,35.2905,15.1216,1898.0984,1898.0984,1196.4372,626.0467,10
2024-02-23,0,bull,192.94,192.94,135.3838,115.5312,92.94,92.94,35.3838,15.5312,1929.4,1929.4,1254.9568,579.7394,9
2024-02-26,0,bull,195.4706,195.4706,134.888,114.9945,95.4706,95.4706,34.888,14.9945,1954.7056,1954.7056,1351.9715,492.561,7
2024-02-27,0,bull,199.2096,199.2096,135.1385,115.0369,99.2096,99.2096,35.1385,15.0369,1992.0961,1992.0961,1366.2856,506.687,7
2024-02-28,0,bull,197.4537,197.4537,134.9599,115.1216,97.4537,97.4537,34.9599,15.1216,1974.5372,1974.5372,1341.6105,522.9222,7
2024-02-29,0,bull,197.7298,197.7298,135.4451,114.9662,97.7298,97.7298,35.4451,14.9662,1977.2976,1977.2976,1296.5185,568.5794,8
2024-03-01,0,bull,200.9044,200.9044,136.7167,115.5312,100.9044,100.9044,36.7167,15.5312,2009.0438,2009.0438,1161.6566,722.1082,10
2024-03-04,0,bull,200.5675,200.5675,136.5701,115.6725,100.5675,100.5675,36.5701,15.6725,2005.6753,2005.6753,1244.5276,635.9637,9
2024-03-05,0,bull,198.1188,198.1188,135.2052,114.938,98.1188,98.1188,35.2052,14.938,1981.1876,1981.1876,1072.6331,793.7439,12
2024-03-06,0,bull,201.73,201.73,135.8903,115.7431,101.73,101.73,35.8903,15.7431,2017.2999,2017.2999,937.2169,953.9453,13
2024-03-07,0,bull,204.1345,204.1345,137.2392,116.1669,104.1345,104.1345,37.2392,16.1669,2041.345,2041.345,941.632,965.9279,13
2024-03-08,0,bull,205.4178,205.4178,136.4155,116.0115,105.4178,105.4178,36.4155,16.0115,2054.1783,2054.1783,872.4777,1041.122,14
2024-03-11,0,bull,205.376,205.376,136.2982,116.4211,105.376,105.376,36.2982,16.4211,2053.7605,2053.7605,972.0778,953.2912,14
2024-03-12,0,bull,206.0396,206.0396,137.7644,116.9014,106.0396,106.0396,37.7644,16.9014,2060.3957,2060.3957,949.5959,979.4053,14
2024-03-13,0,bull,206.3078,206.3078,137.5484,116.746,106.3078,106.3078,37.5484,16.746,2063.0779,2063.0779,1038.7086,893.5902,13
2024-03-14,0,bull,200.7928,200.7928,137.2765,116.3364,100.7928,100.7928,37.2765,16.3364,2007.9283,2007.9283,1161.1241,729.4468,12
2024-03-15,0,bull,199.7972,199.7972,136.3339,116.0963,99.7972,99.7972,36.3339,16.0963,1997.9719,1997.9719,1206.9134,673.5122,12
2024-03-18,0,bull,199.645,199.645,137.1442,116.3646,99.645,99.645,37.1442,16.3646,1996.4502,1996.4502,1342.7384,529.7316,10
2024-03-19,0,bull,198.4901,198.4901,137.9063,117.0709,98.4901,98.4901,37.9063,17.0709,1984.9014,1984.9014,1357.8677,508.3833,9
2024-03-20,0,bull,200.6619,200.6619,139.1818,117.3817,100.6619,100.6619,39.1818,17.3817,2006.6189,2006.6189,1401.9507,485.5194,8
2024-03-21,0,bull,201.8362,201.8362,139.6418,117.6087,101.8362,101.8362,39.6418,17.6087,2018.3623,2018.3623,1452.5364,443.9563,7
2024-03-22,0,bull,201.0725,201.0725,139.3771,117.3107,101.0725,101.0725,39.3771,17.3107,2010.7251,2010.7251,1271.9019,617.7848,10
2024-03-25,0,bull,203.0669,203.0669,138.992,116.9419,103.0669,103.0669,38.992,16.9419,2030.6689,2030.6689,1306.4841,592.8957,9
2024-03-26,0,bull,202.175,202.175,138.7353,116.9277,102.175,102.175,38.7353,16.9277,2021.7497,2021.7497,1268.5535,620.1183,10
2024-03-27,0,bull,204.089,204.089,139.9012,118.2896,104.089,104.089,39.9012,18.2896,2040.8897,2040.8897,1231.2171,676.8229,9
2024-03-28,0,bull,204.9157,204.9157,139.8745,118.5734,104.9157,104.9157,39.8745,18.5734,2049.1568,2049.1568,1260.74,653.8869,8
2024-04-01,0,bull,203.4437,203.4437,139.6311,118.1477,103.4437,103.4437,39.6311,18.1477,2034.437,2034.437,1378.2299,526.4435,7
2024-04-02,0,bull,201.2888,201.2888,138.7433,117.5377,101.2888,101.2888,38.7433,17.5377,2012.8878,2012.8878,1354.6332,529.8134,8
2024-04-03,0,bull,203.2225,203.2225,138.8957,117.2682,103.2225,103.2225,38.8957,17.2682,2032.225,2032.225,1354.6332,545.1277,8
2024-04-04,0,bull,201.0706,201.0706,137.2003,116.2467,101.0706,101.0706,37.2003,16.2467,2010.7062,2010.7062,1398.621,488.4422,8
2024-04-05,0,bull,200.5803,200.5803,138.6336,116.8142,100.5803,100.5803,38.6336,16.8142,2005.8032,2005.8032,1413.6989,468.9053,8
